,message,answers
0,This is ridiculous! My order has been stuck on 'preparing' for over 45 minutes.;,"
The only thing I can think of is that the order is being held up by the server.
I'm not sure if this is a bug or a feature request, but I'm not sure how to fix it.

A: I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this is a bug or a feature request, but I'm not sure if this"
1,Seriously? The delivery fee is almost as much as the food itself!;,"
The food is amazing, but the delivery fee is a bit of a problem. I've been to a few restaurants that charge $10 for a meal, and I've never been charged anything. I've also been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $10 for a meal, and I've never been charged anything.
I've been to a few places that charge $"
2,"Ugh, the app keeps crashing when I try to place my order.;","
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place an order with the app.
I'm not sure if this is a bug or a feature, but I'm not able to place"
3,Why can't I find my favorite restaurant on this delivery app anymore?;,"
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on this delivery app anymore.
I'm not sure if this is a bug or a feature request, but I'm not able to find my favorite restaurant on"
4,The estimated delivery time keeps changing! Now it says it'll be another hour?;,"
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing! Now it says it'll be another hour?
The estimated delivery time keeps changing!"
5,"I specifically requested utensils and napkins, and they're nowhere to be found.;","
The 2019-2020 season is set to begin on September 17, 2019, and the team will play in the 2019-2020 season.
The 2019-2020 season is set to begin on September 17, 2019, and the team will play in the 2019-2020 season. The team will play in the 2019-2020 season. The 2019-2020 season is set to begin on September 17, 2019, and the team will play in the 2019-2020 season. The team will play in the 2019-2020 season. The 2019-2020 season is set to begin on September 17, 2019, and the team will play in the 2019-20"
6,The food selection on this app is so limited compared to other services.;,"
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the"
7,There's no way to contact the driver directly through the app? That's frustrating.;,"
The driver will be able to see the location of the car, but not the owner.
The driver will be able to see the location of the car, but not the owner.
The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner.
The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner.
The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner. The driver will be able to see the location of the car, but not the owner.
The driver will be able to see the location of the car, but not the owner"
8,I keep getting error messages when I try to use a promo code.;,"
I'm using the following code to get the code:
<script type=""text/javascript"">
    function getCode(code) {
        var code = document.getElementById('code').value;
        var url = ""http://www.google.com/search?q="" + code;
        var x = document.createElement('script');
        x.src = url;
        document.getElementsByTagName('head')[0].appendChild(x);
    }
</script>

<input type=""text"" id=""code"" />

<div id=""code"">
    <input type=""text"" id=""code"" />
</div>

<div id=""error""></div>

<script>
    function getCode(code) {
        var code = document.getElementById('code').value;
        var url = ""http://www.google.com/search?q="" + code;
        var x = document.createElement('script');
        x.src = url;
        document.getElementsByTagName"
9,"The food pictures look amazing, but the reality is so disappointing.;","
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food pictures look amazing, but the reality is so disappointing.
The food"
