,message,reply
0,This is ridiculous! My order has been stuck on 'preparing' for over 45 minutes.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
1,Seriously? The delivery fee is almost as much as the food itself!;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
2,"Ugh, the app keeps crashing when I try to place my order.;","Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
3,Why can't I find my favorite restaurant on this delivery app anymore?;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
4,The estimated delivery time keeps changing! Now it says it'll be another hour?;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
5,"I specifically requested utensils and napkins, and they're nowhere to be found.;","Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
6,The food selection on this app is so limited compared to other services.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
7,There's no way to contact the driver directly through the app? That's frustrating.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
8,I keep getting error messages when I try to use a promo code.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
9,"The food pictures look amazing, but the reality is so disappointing.;","Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
10,I can't believe they charge extra for dipping sauces! Ridiculous.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
11,This delivery service always seems to forget drinks in my orders.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
12,The 'live tracking' feature barely works. It's impossible to see where my food is.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
13,I never seem to get enough delivery drivers in my area. Long wait times every time!;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
14,"Ugh, the food is cold and soggy. This delivery took way too long.;","Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
15,The portions are tiny for the price! Not worth the money at all.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
16,This app is so confusing to navigate. It takes forever to find what I'm looking for.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
17,I can't believe they don't offer any customer service support on holidays.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
18,The food arrived completely spilled because the packaging was terrible.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
19,This delivery service keeps recommending restaurants that are way outside my delivery zone.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
20,The 'contact us' section on the app is a joke. There's no way to get a real person.;,"Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
21,"I keep getting notifications about restaurants with high delivery fees, it's annoying!","Dear [Customer Name],

Thank you for reaching out to us regarding your delivery service. We understand how important it is for you to receive your order on time, and we are committed to providing the best possible service.

We have received your order and are currently processing it. Once it has been confirmed, we will send you an email with the estimated delivery date. We will also provide you with a tracking number so that you can track your package's progress.

We take"
